# age_bp	solar_modulation_potential_mev
1112	560.1996593899984
1113	563.1245394023842
1114	566.2209939619137
1115	570.5853854886988
1116	575.1266178140163
1117	581.4140991897611
1118	587.8166890287949
1119	595.7638455981007
1120	603.8039428188059
1121	613.1965216493784
1122	622.589100479951
1123	631.9816793105235
1124	641.2181958922497
1125	649.7846114150068
1126	657.9882954017647
1127	665.1101408886824
1128	671.9084116007845
1129	677.997791309733
1130	683.8159157764362
1131	689.1831036796199
1132	694.5954894978578
1133	700.0658925530264
1134	706.1556610589325
1135	712.8642997213335
1136	719.6892294988907
1137	726.6046446818398
1138	733.3908865724019
1139	740.0995252348021
1140	745.957619858595
1141	751.4280229137635
1142	755.1198637559993
1143	758.2163183155287
1144	758.8
1145	758.8
1146	754.65176239872
1147	749.9038654074421
1148	740.3259779130977
1149	730.4178346578594
1150	716.3887294870467
1151	702.3770862362586
1152	688.7526861743307
1153	675.0017339250711
1154	660.3459386933645
1155	645.4037363885022
1156	629.1989575269649
1157	613.0962378077097
1158	597.3043195541097
1159	581.7682010527395
1160	566.8027763443084
1161	551.9521597770563
1162	537.2956081952838
1163	522.773764062339
1164	508.4275983073585
1165	495.2078030654893
1166	483.13163028332457
1167	471.92014243690926
1168	461.3921969345105
1169	451.95382392403803
1170	443.1809887501292
1171	436.52272281570924
1172	430.84588945657197
1173	428.24616575497987
1174	426.69801837134906
1175	427.73353976363717
1176	429.3849821953862
1177	434.5377096557773
1178	440.21454301491457
1179	447.6227371245745
1180	455.1570543915786
1181	462.8970119213499
1182	470.6264423573116
1183	478.1607596243157
1184	485.63381328378983
1185	492.65244361872317
1186	499.65238168963214
1187	506.5677968725812
1188	513.4328826504286
1189	520.1415213128288
1190	526.8818083294622
1191	533.6940083604269
1192	540.7339044277013
1193	548.16501186913
1194	556.0402126232135
1195	564.5038550859272
1196	573.3740826753371
1197	582.6634463539243
1198	592.2299174059339
1199	602.0188436830833
1200	612.1710702085353
1201	622.5723346759808
1202	632.2643825838688
1203	641.543468950749
1204	649.1816754193643
1205	656.0138785499412
1206	660.2421025797901
1207	663.4031100234529
1208	663.6661670235546
1209	662.9523911491791
1210	657.0254627033094
1211	649.6833936674655
1212	636.7039869480978
1213	622.530437442642
1214	603.7758731453625
1215	584.2989955641681
1216	561.786152748038
1217	538.9453247680228
1218	514.8569899051686
1219	490.690578158456
1220	468.0215061438839
1221	445.37222392169025
1222	422.1235240134604
1223	399.35719165859354
1224	384.5710804058525
1225	370.0582747017428
1226	358.1280208014683
1227	346.52643010094886
1228	337.0434077699603
1229	328.0539744047313
1230	321.4257176362612
1231	315.2074844498824
1232	310.5169572754155
1233	306.1325345434152
1234	302.66544638760007
1235	299.5519118996634
1236	297.3086162944834
1237	295.0653206893034
1238	292.82202508412354
1239	290.54135522357626
1240	288.1959720593484
1241	285.7268073824818
1242	283.07563984908717
1243	280.33398256258585
1244	277.47873349309134
1245	274.3777607831142
1246	271.01281737534407
1247	267.38240032629756
1248	263.50761700825973
1249	259.23348799265835
1250	254.64469484525597
1251	249.14138880391567
1252	243.0233098806973
1253	235.6716259623714
1254	227.61574465915388
1255	218.18296115019825
1256	208.08813092688908
1257	197.41094116447437
1258	186.50036708473493
1259	174.51508693213697
1260	162.17633202467866
1261	149.43468950749562
1262	136.58672376873702
1263	123.9074491408759
1264	111.26277469025601
1265	100.03560721933337
1266	89.02306515754155
1267	80.13791169572805
1268	71.47063322116868
1269	65.31027379799102
1270	59.29385611584124
1271	55.98792699092491
1272	52.78358231785047
1273	52.06977005047676
1274	51.431457122463534
1275	51.94129703273173
1276	52.6045477719997
1277	54.643907413072256
1278	56.72577372151107
1279	59.07115688573895
1280	61.43462832670539
1281	63.88185989599275
1282	66.37321164533742
1283	69.02451435272515
1284	71.88371571326574
1285	75.3506271030895
1286	79.23652493117164
1287	84.13098806974637
1288	89.66897465966488
1289	96.50117779024096
1290	104.50535331905715
1291	114.49821556031385
1292	125.40973843879082
1293	137.64652016519716
1294	151.02531864994444
1295	165.8106760477205
1296	181.28117934616446
1297	197.474274366024
1298	214.83895508707494
1299	233.27260413483955
1300	250.2827375496478
1301	266.170302474793
1302	280.36030145635954
1303	293.39625216417096
1304	306.2392606171703
